chr11	1850540	1850554	0.987607	0.0269336	0.0181816	0.953459	0.00771515	0.00771515	1
chr11	1851054	1851078	0.95346	0.00805342	0.00805342	0.953459	0.00805342	0.00805342	5
chr11	1852921	1852934	0.959078	0.0166639	0.0116668	0.953459	0.0058334	0.0058334	1
chr11	1857755	1857772	0.95346	0.00681286	0.00681286	0.953459	0.00681286	0.00681286	4
chr11	1860195	1860226	0.95346	0.00709739	0.00709739	0.953459	0.00709739	0.00709739	4
chr11	1869347	1869363	0.95346	0.00630902	0.00630902	0.953459	0.00630902	0.00630902	4
chr11	1879344	1879360	0.95346	0.00684779	0.00684779	0.953459	0.00684779	0.00684779	4
chr11	1883916	1883927	0.95346	0.00614933	0.00614933	0.953459	0.00614933	0.00614933	1
chr11	1884323	1884344	0.95346	0.0075758	0.0075758	0.953459	0.0075758	0.0075758	4
chr11	1892636	1892679	0.95346	0.0074227	0.0074227	0.953459	0.0074227	0.0074227	4
chr11	1892703	1892743	0.95346	0.00781104	0.00781104	0.953459	0.00781104	0.00781104	4
chr11	1895138	1895149	0.95346	0.00602434	0.00602434	0.953459	0.00602434	0.00602434	1
chr11	1898237	1898252	0.999	0.00617434	0.0123487	0.953459	0.00617434	0.00617434	1
